DATAFLOW,LAST UPDATE,freq,unit,airpol,src_crf,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ENV_AIR_GGE(1.0),08/05/25 23:00:00,Annual,Thousand tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Fuel combustion in energy industries,Austria,1990,14007.51,,
ESTAT:ENV_AIR_GGE(1.0),08/05/25 23:00:00,Annual,Thousand tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Fuel combustion in energy industries,Austria,1991,14796.39,,
ESTAT:ENV_AIR_GGE(1.0),08/05/25 23:00:00,Annual,Thousand tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Fuel combustion in energy industries,Austria,1992,11552.4,,
ESTAT:ENV_AIR_GGE(1.0),08/05/25 23:00:00,Annual,Thousand tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Fuel combustion in energy industries,Austria,1993,11626.26,,
ESTAT:ENV_AIR_GGE(1.0),08/05/25 23:00:00,Annual,Thousand tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Fuel combustion in energy industries,Austria,1994,11914.57,,
ESTAT:ENV_AIR_GGE(1.0),08/05/25 23:00:00,Annual,Thousand tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Fuel combustion in energy industries,Austria,1995,13058.7,,
ESTAT:ENV_AIR_GGE(1.0),08/05/25 23:00:00,Annual,Thousand tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Fuel combustion in energy industries,Austria,1996,14033.58,,
ESTAT:ENV_AIR_GGE(1.0),08/05/25 23:00:00,Annual,Thousand tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Fuel combustion in energy industries,Austria,1997,14079.84,,
ESTAT:ENV_AIR_GGE(1.0),08/05/25 23:00:00,Annual,Thousand tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Fuel combustion in energy industries,Austria,1998,13137.39,,
ESTAT:ENV_AIR_GGE(1.0),08/05/25 23:00:00,Annual,Thousand tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Fuel combustion in energy industries,Austria,1999,12614.04,,
ESTAT:ENV_AIR_GGE(1.0),08/05/25 23:00:00,Annual,Thousand tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Fuel combustion in energy industries,Austria,2000,12314.34,,
ESTAT:ENV_AIR_GGE(1.0),08/05/25 23:00:00,Annual,Thousand tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Fuel combustion in energy industries,Austria,2001,13705.18,,
ESTAT:ENV_AIR_GGE(1.0),08/05/25 23:00:00,Annual,Thousand tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Fuel combustion in energy industries,Austria,2002,13369.39,,
ESTAT:ENV_AIR_GGE(1.0),08/05/25 23:00:00,Annual,Thousand tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Fuel combustion in energy industries,Austria,2003,15915.32,,
ESTAT:ENV_AIR_GGE(1.0),08/05/25 23:00:00,Annual,Thousand tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Fuel combustion in energy industries,Austria,2004,15852.91,,
ESTAT:ENV_AIR_GGE(1.0),08/05/25 23:00:00,Annual,Thousand tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Fuel combustion in energy industries,Austria,2005,16024.72,,
ESTAT:ENV_AIR_GGE(1.0),08/05/25 23:00:00,Annual,Thousand tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Fuel combustion in energy industries,Austria,2006,14821.37,,
