DATAFLOW,LAST UPDATE,freq,hhtyp,incgrp,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,AT,2003,10.1,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,AT,2004,10.7,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,AT,2005,12.1,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,AT,2006,8.4,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,AT,2007,6.5,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,AT,2008,13.8,b,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,AT,2009,9.7,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,AT,2010,7.6,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,AT,2011,9.1,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,AT,2012,8.3,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,AT,2013,10.5,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,AT,2014,11.0,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,AT,2015,8.4,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,AT,2016,8.6,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,AT,2017,9.3,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,AT,2018,6.5,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,AT,2019,9.9,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,AT,2020,4.5,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,AT,2021,7.0,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,AT,2022,7.3,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,AT,2023,10.3,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,AT,2024,10.5,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,BE,2003,10.4,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,BE,2004,13.6,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,BE,2005,25.5,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,BE,2006,30.5,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,BE,2007,27.8,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,BE,2008,17.2,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,BE,2009,17.4,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,BE,2010,20.3,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,BE,2011,23.2,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,BE,2012,17.6,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,BE,2013,23.7,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,BE,2014,15.2,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,BE,2015,12.8,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,BE,2016,18.3,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,BE,2017,21.3,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,BE,2018,18.8,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,BE,2019,11.9,b,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,BE,2020,13.6,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,BE,2021,11.9,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,BE,2022,12.1,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,BE,2023,18.0,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,BE,2024,13.7,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,BG,2005,80.6,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,BG,2006,80.6,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,BG,2007,78.3,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,BG,2008,83.8,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,BG,2009,80.6,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,BG,2010,81.8,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,BG,2011,70.7,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,BG,2012,72.9,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,BG,2013,70.2,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,BG,2014,68.9,b,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,BG,2015,67.1,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,BG,2016,64.1,b,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,BG,2017,63.0,,
ESTAT:ILC_MDES01(1.0),30/10/25 23:00:00,A,A1,B_MD60,PC,BG,2018,62.1,,
