STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Fréquence d'observation,REF_AREA,Fréquence d'observation,MEASURE,Mesure,CATEGORY,Catégorie de recettes provenant des taxes liées à l'environnement,DOMAIN,Domaine de recettes provenant des taxes liées à l'environnement,UNIT_MEASURE,Unit of measure,ACTIVITY,Activité économique,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,PRICE_BASE,Type de prix,OBS_STATUS,Statut d'observation,OBS_STATUS_2,Statut d'observation 2,DECIMALS,Décimales,UNIT_MULT,Multiplicateur d'unité,REF_YEAR_PRICE,Reference year price,CURRENCY,Currency
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,LVA,Lettonie,TAXREV,Tax revenue,_T,Toute assiette de taxes,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,1994,,,,,,,,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,LTU,Lituanie,TAXREV,Tax revenue,_T,Toute assiette de taxes,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,1994,,,,,,,,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,BGR,Bulgarie,TAXREV,Tax revenue,_T,Toute assiette de taxes,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,1994,,,,,,,,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,HRV,Croatie,TAXREV,Tax revenue,_T,Toute assiette de taxes,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,1994,,,,,,,,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,CYP,Chypre,TAXREV,Tax revenue,_T,Toute assiette de taxes,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,1994,,,,,,,,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,MLT,Malte,TAXREV,Tax revenue,_T,Toute assiette de taxes,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,1994,,,,,,,,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,ROU,Roumanie,TAXREV,Tax revenue,_T,Toute assiette de taxes,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,1994,,,,,,,,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,MLT,Malte,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,1994,,,,,,,,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,DEU,Allemagne,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2016,,,,,,,,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Recettes provenant des taxes liées à l'environnement,I,A,Annuelle,DEU,Allemagne,TAXREV,Tax revenue,CAT_POL,Assiette relatives aux taxes sur les pollutions,_T,Environnement total,USD,Dollars des É-U,_Z,Non applicable,2017,,,,,,,,,,2,Two,6,Millions,,,,
